Address,Postal_Code,County,Price_euro,Not_Full_Market_Price,VAT_Exclusive,Description_of_Property,Property_Size_Description,Day,Month,Year,DoS_yyyymmdd,Income_Indices,Income_Per_Person_euro
"1 ANNE ST, CORK",,Cork,5715.0,No,No,Second-Hand Dwelling house /Apartment,,20,12,2017,2017-12-20,98.94301186,29293.89683
"15 INNISMORE, CRUMLIN VILLAGE, DUBLIN 12",Dublin 12,Dublin,6000.0,Yes,No,Second-Hand Dwelling house /Apartment,,1,2,2018,2018-02-01,122.3417314,37406.12892
"14 Chapel Farm, Lusk",,Dublin,6000.0,Yes,No,Second-Hand Dwelling house /Apartment,,15,3,2010,2010-03-15,114.6838254,29224.81553
"94B RATOATH AVE, FINGLAS, DUBLIN 11",Dublin 11,Dublin,6250.0,No,No,Second-Hand Dwelling house /Apartment,,9,12,2013,2013-12-09,120.0591077,30843.61949
"Parade Field, Chapel Street, Bantry",,Cork,6500.0,No,No,Second-Hand Dwelling house /Apartment,,16,8,2012,2012-08-16,99.68430933,25832.86283
"39 Mullach Glas Crescent, Mullach Glas, Mullaghmonaghan",,Monaghan,7000.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,15,7,2015,2015-07-15,82.23831338,22355.86131
"No.5 O'Brien Street, Waterford",,Waterford,7000.0,No,No,Second-Hand Dwelling house /Apartment,,9,9,2010,2010-09-09,92.45710574,23560.79291
"9/10 MITCHELLS STREET, CLONMEL, TIPPERARY",,Tipperary,7087.0,No,No,Second-Hand Dwelling house /Apartment,,9,4,2014,2014-04-09,91.24637818,23898.72928
"16 SHIP STREET, DROGHEDA, COUNTY LOUTH",,Louth,7250.0,No,No,Second-Hand Dwelling house /Apartment,,11,1,2016,2016-01-11,89.38559664,25021.96999
"235 Cratloewood, Old Cratloe Road",,Limerick,7500.0,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,6,2,2015,2015-02-06,104.4601497,28396.69884
"5 THE CLOSET APTS, ROSEMARY ST, ROSCREA",,Tipperary,7500.0,No,No,Second-Hand Dwelling house /Apartment,,1,6,2017,2017-06-01,90.26349033,26724.16498
"5 RIVERWALK, CASTLEREA, ROSCOMMON",,Roscommon,7500.0,No,No,Second-Hand Dwelling house /Apartment,,16,4,2015,2015-04-16,79.32921101,21565.04391
"8 Cedarhurst Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"Raheen, Tobinstown, Tullow",,Carlow,8000.0,No,No,Second-Hand Dwelling house /Apartment,,16,10,2012,2012-10-16,90.57142938,23471.28979
"151 Millrace Road, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"Apartment No. 80 'The Laurels', Ballinteer Road, Dundrum",Dublin 14,Dublin,8000.0,No,No,Second-Hand Dwelling house /Apartment,,14,12,2012,2012-12-14,119.0093179,30840.87562
"19 Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"17 DRUM CREST, KNOCK, CO MAYO",,Mayo,8000.0,No,No,Second-Hand Dwelling house /Apartment,,5,6,2015,2015-06-05,80.22447756,21808.41533
"23 Phoenix Park Way, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"56 Glenesky Square, Phoenix Park Racecourse, Castleknock",Dublin 15,Dublin,8000.0,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,20,12,2013,2013-12-20,120.0591077,30843.61949
"73 BYRNE AVE, LIMERICK, LIMERICK",,Limerick,8000.0,No,No,Second-Hand Dwelling house /Apartment,,30,4,2014,2014-04-30,106.2192943,27820.3498
"Atticoffey West, Clontuskert, Ballinasloe",,Galway,8000.0,Yes,No,Second-Hand Dwelling house /Apartment,,30,7,2012,2012-07-30,94.27968127,24432.27114
